period,minute,second,play_pattern,team,player,under_pressure,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z,defenders_between
1,2,29,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,,Right Foot,Open Play,Off T,Half Volley,True,,,,,,111.7,51.7,120.0,32.7,0.2,2.0
1,5,39,Regular Play,Barcelona,Jordi Alba Ramos,,Left Foot,Open Play,Off T,Volley,True,,,,,,114.0,27.0,120.0,35.0,0.9,1.0
1,15,28,From Keeper,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Open Play,Saved,Normal,,,,,,,92.0,34.5,117.8,38.5,0.4,2.0
1,16,19,Regular Play,Deportivo Alavés,Rubén Sobrino Pozuelo,1.0,Head,Open Play,Off T,Normal,,,,,,,109.1,38.7,120.0,32.0,1.1,1.0
1,18,15,From Corner,Barcelona,Luis Alberto Suárez Díaz,,Right Foot,Open Play,Off T,Normal,,,,,,,107.0,25.0,120.0,42.5,3.8,1.0
1,30,42,Regular Play,Barcelona,Ousmane Dembélé,1.0,Left Foot,Open Play,Off T,Half Volley,True,,,,,,108.1,27.4,120.0,58.6,0.2,1.0
1,35,4,From Corner,Barcelona,Ivan Rakitić,1.0,Head,Open Play,Off T,Normal,,,,,,,112.0,43.7,120.0,33.0,1.0,1.0
1,37,28,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Free Kick,Post,Normal,,,,,,,97.0,54.0,120.0,43.0,2.8,5.0
1,37,30,From Free Kick,Barcelona,Gerard Piqué Bernabéu,1.0,Head,Open Play,Off T,Normal,,,,,,,112.3,41.4,120.0,36.6,3.7,1.0
1,38,28,Regular Play,Barcelona,Ousmane Dembélé,,Right Foot,Open Play,Saved,Normal,True,,,,,,102.5,29.2,113.0,37.4,1.1,1.0
1,40,34,Regular Play,Barcelona,Luis Alberto Suárez Díaz,,Right Foot,Open Play,Wayward,Lob,True,,,,,,109.3,29.7,119.1,34.8,,1.0
1,43,30,From Free Kick,Barcelona,Ousmane Dembélé,1.0,Right Foot,Open Play,Off T,Normal,True,,,,,,106.5,33.5,120.0,47.1,1.1,2.0
2,47,39,Regular Play,Barcelona,Jordi Alba Ramos,,Left Foot,Open Play,Saved,Normal,,,,True,,,116.9,31.2,117.8,34.0,0.1,1.0
2,51,7,From Throw In,Deportivo Alavés,Mubarak Wakaso,1.0,Left Foot,Open Play,Blocked,Half Volley,True,,,,,,106.0,23.0,110.4,29.2,,2.0
2,53,54,Regular Play,Barcelona,Luis Alberto Suárez Díaz,,Right Foot,Open Play,Blocked,Normal,,,,,,,111.1,24.1,115.7,32.5,,2.0
2,54,56,From Throw In,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Blocked,Normal,,,,,,,94.4,24.5,98.8,28.6,,2.0
2,55,34,From Throw In,Barcelona,Jordi Alba Ramos,,Left Foot,Open Play,Blocked,Normal,True,,,,,,107.4,25.9,108.7,27.5,,2.0
2,57,20,From Corner,Barcelona,Lionel Andrés Messi Cuccittini,1.0,Left Foot,Open Play,Off T,Normal,,,,,,,100.1,58.1,120.0,37.7,3.9,1.0
2,60,36,From Throw In,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Blocked,Normal,True,,,,,,100.2,27.7,102.1,29.4,,1.0
2,63,11,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Free Kick,Goal,Normal,,,,,,,96.1,45.1,120.0,42.4,0.1,5.0
2,65,43,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Open Play,Post,Normal,,,,,,,106.1,47.1,120.0,35.9,2.0,3.0
2,68,33,Regular Play,Barcelona,Ivan Rakitić,,Right Foot,Open Play,Blocked,Half Volley,,,,,,,88.7,42.8,102.1,36.1,,2.0
2,72,27,From Throw In,Barcelona,Luis Alberto Suárez Díaz,,Left Foot,Open Play,Saved,Normal,True,,,,,,109.1,30.1,115.9,34.8,1.6,1.0
2,78,17,From Free Kick,Deportivo Alavés,Adrián Marín Gómez,,Right Foot,Open Play,Off T,Volley,True,,,,,,113.4,33.5,120.0,33.0,1.7000000000000002,1.0
2,81,31,Regular Play,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Saved,Normal,,,,True,,,113.4,31.1,116.1,34.4,0.30000000000000004,1.0
2,82,41,Regular Play,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Goal,Normal,,,,,,,105.1,31.1,120.0,41.3,1.1,3.0
2,89,22,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Open Play,Saved,Normal,,,,,,,106.1,46.1,116.1,40.1,0.2,1.0
2,91,42,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Open Play,Goal,Normal,,,,,,,112.0,34.6,120.0,36.4,0.2,1.0
1,4,29,Regular Play,Barcelona,Ousmane Dembélé,,Right Foot,Open Play,Off T,Normal,,,,,,,119.2,27.0,120.0,48.3,4.4,0.0
1,6,57,Regular Play,Real Valladolid,Enes Ünal,,Left Foot,Open Play,Saved,Normal,True,,,,,,105.4,22.5,118.6,35.7,2.2,1.0
