player,team,distance,angle,under_pressure,follows_dribble,one_on_one,first_time,defenders_between,Corner,Free Kick,Open Play,Penalty,Backheel,Diving Header,Half Volley,Lob,Normal,Overhead Kick,Volley,Head,Other,preferred_foot,not_preferred_foot,goal
Lionel Andrés Messi Cuccittini,Barcelona,14.345033983926285,0.30589320033479145,0,0,0,1,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Jordi Alba Ramos,Barcelona,14.317821063276353,0.22532962973735438,0,0,0,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,28.53506614676055,0.250548880359299,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,19.849433241279208,0.24500067134458073,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Ivan Rakitić,Barcelona,8.814193099768126,0.7387556259649014,1,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Lionel Andrés Messi Cuccittini,Barcelona,26.92582403567252,0.2323202297014282,0,0,0,0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Gerard Piqué Bernabéu,Barcelona,7.826237921249266,0.8668690376772117,1,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Luis Alberto Suárez Díaz,Barcelona,14.851935900750451,0.36143324817117134,0,0,0,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Jordi Alba Ramos,Barcelona,9.330058949438635,0.2988599054826943,0,0,1,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Luis Alberto Suárez Díaz,Barcelona,18.221415971323417,0.20168651146120292,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Philippe Coutinho Correia,Barcelona,29.926743892378262,0.2093001901328116,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Jordi Alba Ramos,Barcelona,18.909521411183306,0.26182852257105316,0,0,0,1,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,26.900185872963785,0.20229588012656097,1,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Philippe Coutinho Correia,Barcelona,23.309440147716973,0.2669692805144014,0,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,24.43808503136038,0.2911435503525606,0,0,0,0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
